public_file,basename,match_path,match_basename,match_total,no_match
"life-at-ipag/chuong-trinh-dao-tao/figma/coe-bg.png","coe-bg.png","1","1","2","false"
"life-at-ipag/chuong-trinh-dao-tao/figma/coe-handshake.svg","coe-handshake.svg","1","1","2","false"
"life-at-ipag/chuong-trinh-dao-tao/figma/coe-open-book.svg","coe-open-book.svg","1","1","2","false"
"life-at-ipag/chuong-trinh-dao-tao/figma/coe-teacher.svg","coe-teacher.svg","1","1","2","false"
"life-at-ipag/chuong-trinh-dao-tao/figma/hero-banner-45e0aa.png","hero-banner-45e0aa.png","1","1","2","false"
"life-at-ipag/chuong-trinh-dao-tao/figma/hero.png","hero.png","0","2","2","false"
"life-at-ipag/chuong-trinh-dao-tao/figma/training-identity-check.svg","training-identity-check.svg","1","1","2","false"
"life-at-ipag/chuong-trinh-dao-tao/figma/training-identity-decoration.svg","training-identity-decoration.svg","1","1","2","false"
"life-at-ipag/chuong-trinh-dao-tao/figma/training-identity-diversity.svg","training-identity-diversity.svg","1","1","2","false"
"life-at-ipag/chuong-trinh-dao-tao/figma/training-identity-handshake.svg","training-identity-handshake.svg","1","1","2","false"
"life-at-ipag/chuong-trinh-dao-tao/figma/training-identity-tablet.svg","training-identity-tablet.svg","1","1","2","false"
"life-at-ipag/chuong-trinh-dao-tao/figma/training-programs-decoration.svg","training-programs-decoration.svg","1","1","2","false"
"life-at-ipag/chuong-trinh-dao-tao/figma/training-quote-abstract-left.svg","training-quote-abstract-left.svg","1","1","2","false"
"life-at-ipag/chuong-trinh-dao-tao/figma/training-quote-abstract-right.svg","training-quote-abstract-right.svg","1","1","2","false"
"life-at-ipag/chuong-trinh-dao-tao/figma/training-quote-icon.svg","training-quote-icon.svg","2","2","4","false"
"life-at-ipag/chuong-trinh-dao-tao/figma/training-tab-ai-ready.png","training-tab-ai-ready.png","1","1","2","false"
"life-at-ipag/chuong-trinh-dao-tao/figma/training-tab-chuyen-mon.png","training-tab-chuyen-mon.png","1","1","2","false"
"life-at-ipag/chuong-trinh-dao-tao/figma/training-tab-hoi-nhap.png","training-tab-hoi-nhap.png","1","1","2","false"
"life-at-ipag/chuong-trinh-dao-tao/figma/training-tab-leadership.png","training-tab-leadership.png","1","1","2","false"
"life-at-ipag/chuong-trinh-dao-tao/figma/training-tab-retreat.png","training-tab-retreat.png","1","1","2","false"
"life-at-ipag/chuong-trinh-dao-tao/figma/vision-decoration.svg","vision-decoration.svg","1","1","2","false"
"life-at-ipag/chuong-trinh-dao-tao/hero-1.png","hero-1.png","1","4","5","false"
"life-at-ipag/chuong-trinh-dao-tao/hero-2.png","hero-2.png","1","4","5","false"
"life-at-ipag/chuong-trinh-dao-tao/hero-3.png","hero-3.png","1","4","5","false"
"life-at-ipag/chuong-trinh-dao-tao/hero-4.png","hero-4.png","1","4","5","false"
"life-at-ipag/chuyen-nha-ipag/docs.png","docs.png","1","1","2","false"
"life-at-ipag/chuyen-nha-ipag/figma/hero-detail.png","hero-detail.png","1","1","2","false"
"life-at-ipag/chuyen-nha-ipag/figma/related-1.png","related-1.png","1","1","2","false"
"life-at-ipag/chuyen-nha-ipag/figma/related-2.png","related-2.png","1","1","2","false"
"life-at-ipag/chuyen-nha-ipag/figma/related-3.png","related-3.png","1","1","2","false"
"life-at-ipag/chuyen-nha-ipag/figma/thumb-1.png","thumb-1.png","2","2","4","false"
"life-at-ipag/chuyen-nha-ipag/figma/thumb-2.png","thumb-2.png","1","1","2","false"
"life-at-ipag/chuyen-nha-ipag/figma/thumb-3.png","thumb-3.png","2","2","4","false"
"life-at-ipag/chuyen-nha-ipag/figma/thumb-4.png","thumb-4.png","1","1","2","false"
"life-at-ipag/chuyen-nha-ipag/figma/thumb-5.png","thumb-5.png","1","1","2","false"
"life-at-ipag/chuyen-nha-ipag/figma/thumb-6.png","thumb-6.png","1","1","2","false"
"life-at-ipag/chuyen-nha-ipag/hero-1.png","hero-1.png","1","4","5","false"
"life-at-ipag/chuyen-nha-ipag/hero-2.png","hero-2.png","1","4","5","false"
"life-at-ipag/chuyen-nha-ipag/hero-3.png","hero-3.png","1","4","5","false"
"life-at-ipag/chuyen-nha-ipag/hero-4.png","hero-4.png","1","4","5","false"
"life-at-ipag/figma/tabs-bg.svg","tabs-bg.svg","1","1","2","false"
"ma-program/banner.png","banner.png","1","2","3","false"
"ma-program/figma/pathway-tag.svg","pathway-tag.svg","1","1","2","false"
"ma-program/hero-decor.png","hero-decor.png","1","1","2","false"
"specialist-track/banner-texture.png","banner-texture.png","1","1","2","false"
"specialist-track/hero-graphic.png","hero-graphic.png","1","2","3","false"
"specialist-track/icons/icon-calendar.png","icon-calendar.png","1","1","2","false"
"specialist-track/icons/icon-diversity.png","icon-diversity.png","1","1","2","false"
"specialist-track/icons/icon-skills.png","icon-skills.png","1","1","2","false"
"we-look-for/arrow-right.svg","arrow-right.svg","1","1","2","false"
"we-look-for/cta-arrow.svg","cta-arrow.svg","1","1","2","false"
"we-look-for/hot-ribbon.svg","hot-ribbon.svg","1","1","2","false"
